long,byte,byte,byte,byte,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,
12,1,9,0,0,57,6097,1396,2092,59,9576,4604,159,6948,-1,-1,-1,12645,2470,3260,6442,3261,3093,15852,18084,6418,-1,-1,-1,20,4,7,13,8,0,0,0,0,-1,-1,-1,
40,1,9,1,0,57,6097,1396,2092,59,9576,4604,159,6948,-1,-1,-1,12645,2470,3260,6442,3261,3093,15852,18084,6418,-1,-1,-1,20,4,7,13,8,0,0,0,0,-1,-1,-1,
2,2,1,0,0,6125,139,140,6948,12282,0,117,0,-1,-1,-1,-1,9995,9988,9992,6418,22291,-1,2473,-1,-1,-1,-1,-1,4,7,8,0,17,-1,0,-1,-1,-1,-1,-1,
41,2,1,1,0,6125,139,140,6948,12282,0,117,0,-1,-1,-1,-1,9995,9988,9992,6418,22291,-1,2473,-1,-1,-1,-1,-1,4,7,8,0,17,-1,0,-1,-1,-1,-1,-1,
16,2,3,0,0,127,6126,6127,159,37,6948,2101,2504,117,2512,9553,-1,9996,10002,10003,18084,14029,6418,21328,8106,2473,5996,7798,-1,4,7,8,0,21,0,18,15,0,24,0,-1,
42,2,3,1,0,127,6126,6127,159,37,6948,2101,2504,117,2512,9553,-1,9996,10002,10003,18084,14029,6418,21328,8106,2473,5996,7798,-1,4,7,8,0,21,0,18,15,0,24,0,-1,
17,2,4,0,0,2105,120,121,3111,2092,117,9560,6948,-1,-1,-1,-1,10005,10006,10008,20777,6442,2473,7798,6418,-1,-1,-1,-1,4,7,8,25,13,0,0,0,-1,-1,-1,-1,
43,2,4,1,0,2105,120,121,3111,2092,117,9560,6948,-1,-1,-1,-1,10005,10006,10008,20777,6442,2473,7798,6418,-1,-1,-1,-1,4,7,8,25,13,0,0,0,-1,-1,-1,-1,
19,2,7,0,0,154,153,6948,0,36,117,159,9568,-1,-1,-1,-1,10058,10050,6418,-1,5194,2473,18084,7798,-1,-1,-1,-1,4,7,0,-1,21,0,0,0,-1,-1,-1,-1,
45,2,7,1,0,154,153,6948,0,36,117,159,9568,-1,-1,-1,-1,10058,10050,6418,-1,5194,2473,18084,7798,-1,-1,-1,-1,4,7,0,-1,21,0,0,0,-1,-1,-1,-1,
20,2,9,0,0,6129,1396,59,2092,6948,117,159,9579,-1,-1,-1,-1,12646,3260,3261,6442,6418,2473,18084,7798,-1,-1,-1,-1,20,7,8,13,0,0,0,0,-1,-1,-1,-1,
46,2,9,1,0,6129,1396,59,2092,6948,117,159,9579,-1,-1,-1,-1,12646,3260,3261,6442,6418,2473,18084,7798,-1,-1,-1,-1,20,7,8,13,0,0,0,0,-1,-1,-1,-1,
3,3,1,0,0,38,39,40,9543,12282,6948,117,-1,-1,-1,-1,-1,9891,9892,10141,22443,22291,6418,2473,-1,-1,-1,-1,-1,4,7,8,0,17,0,0,-1,-1,-1,-1,-1,
47,3,1,1,0,38,39,40,9543,12282,6948,117,-1,-1,-1,-1,-1,9891,9892,10141,22443,22291,6418,2473,-1,-1,-1,-1,-1,4,7,8,0,17,0,0,-1,-1,-1,-1,-1,
7,3,2,0,0,6117,6118,43,9563,2361,4540,159,6948,-1,-1,-1,-1,9972,9974,10272,22443,8690,6399,18084,6418,-1,-1,-1,-1,4,7,8,0,17,0,0,0,-1,-1,-1,-1,
48,3,2,1,0,6117,6118,43,9563,2361,4540,159,6948,-1,-1,-1,-1,9972,9974,10272,22443,8690,6399,18084,6418,-1,-1,-1,-1,4,7,8,0,17,0,0,0,-1,-1,-1,-1,
21,3,3,0,0,148,147,129,9566,37,159,2102,2508,2516,117,6948,-1,9976,9975,9977,22443,14029,18084,1816,6606,5998,2473,6418,-1,4,7,8,0,21,0,18,26,24,0,0,-1,
49,3,3,1,0,148,147,129,9566,37,159,2102,2508,2516,117,6948,-1,9976,9975,9977,22443,14029,18084,1816,6606,5998,2473,6418,-1,4,7,8,0,21,0,18,26,24,0,0,-1,
288,3,4,0,0,2092,49,48,47,9550,4540,3111,6948,-1,-1,-1,-1,6442,9906,9913,9915,22443,6399,20777,6418,-1,-1,-1,-1,13,4,7,8,0,0,25,0,-1,-1,-1,-1,
289,3,4,1,0,2092,49,48,47,9550,4540,3111,6948,-1,-1,-1,-1,6442,9906,9913,9915,22443,6399,20777,6418,-1,-1,-1,-1,13,4,7,8,0,0,25,0,-1,-1,-1,-1,
22,3,5,0,0,6098,53,52,51,36,159,4540,9556,6948,-1,-1,-1,12679,9944,9945,9946,5194,18084,6399,22443,6418,-1,-1,-1,20,4,7,8,21,0,0,0,0,-1,-1,-1,
50,3,5,1,0,6098,53,52,51,36,159,4540,9556,6948,-1,-1,-1,12679,9944,9945,9946,5194,18084,6399,22443,6418,-1,-1,-1,20,4,7,8,21,0,0,0,0,-1,-1,-1,
35,3,8,0,0,6116,1395,6096,35,55,9572,159,4540,6948,-1,-1,-1,12648,9924,2163,472,9929,3669,18084,6399,6418,-1,-1,-1,20,7,4,17,8,0,0,0,0,-1,-1,-1,
52,3,8,1,0,6116,1395,6096,35,55,9572,159,4540,6948,-1,-1,-1,12648,9924,2163,472,9929,3669,18084,6399,6418,-1,-1,-1,20,7,4,17,8,0,0,0,0,-1,-1,-1,
4,4,1,0,0,25,6120,6121,6122,2362,117,9545,6948,-1,-1,-1,-1,1542,9983,9984,9985,18730,2473,6015,6418,-1,-1,-1,-1,21,4,7,8,14,0,0,0,-1,-1,-1,-1,
53,4,1,1,0,25,6120,6121,6122,2362,117,9545,6948,-1,-1,-1,-1,1542,9983,9984,9985,18730,2473,6015,6418,-1,-1,-1,-1,21,4,7,8,14,0,0,0,-1,-1,-1,-1,
24,4,3,0,0,2092,148,147,129,159,2504,2101,2512,117,9567,6948,-1,6442,9976,9975,9977,18084,8106,21328,5996,2473,6015,6418,-1,13,4,7,8,0,15,18,24,0,0,0,-1,
54,4,3,1,0,2092,148,147,129,159,2504,2101,2512,117,9567,6948,-1,6442,9976,9975,9977,18084,8106,21328,5996,2473,6015,6418,-1,13,4,7,8,0,15,18,24,0,0,0,-1,
8,4,4,0,0,2092,49,48,47,4540,9551,2947,6948,-1,-1,-1,-1,6442,9906,9913,9915,6399,6015,16754,6418,-1,-1,-1,-1,13,4,7,8,0,0,25,0,-1,-1,-1,-1,
55,4,4,1,0,2092,49,48,47,4540,9551,2947,6948,-1,-1,-1,-1,6442,9906,9913,9915,6399,6015,16754,6418,-1,-1,-1,-1,13,4,7,8,0,0,25,0,-1,-1,-1,-1,
26,4,5,0,0,36,6119,52,51,53,2070,159,9557,6948,-1,-1,-1,5194,12681,9945,9946,9944,6353,18084,6015,6418,-1,-1,-1,21,20,7,8,4,0,0,0,0,-1,-1,-1,
56,4,5,1,0,36,6119,52,51,53,2070,159,9557,6948,-1,-1,-1,5194,12681,9945,9946,9944,6353,18084,6015,6418,-1,-1,-1,21,20,7,8,4,0,0,0,0,-1,-1,-1,
286,4,11,0,0,3661,6123,6124,159,4536,9580,6948,0,-1,-1,-1,-1,18530,12683,9987,18084,6410,6015,6418,-1,-1,-1,-1,-1,17,20,7,0,0,0,0,-1,-1,-1,-1,-1,
287,4,11,1,0,3661,6123,6124,159,4536,9580,6948,0,-1,-1,-1,-1,18530,12683,9987,18084,6410,6015,6418,-1,-1,-1,-1,-1,17,20,7,0,0,0,0,-1,-1,-1,-1,-1,
30,5,1,0,0,6125,139,140,25,2362,4604,9546,6948,-1,-1,-1,-1,9995,9988,9992,1542,18730,15852,1301,6418,-1,-1,-1,-1,4,7,8,21,14,0,0,0,-1,-1,-1,-1,
58,5,1,1,0,6125,139,140,25,2362,4604,9546,6948,-1,-1,-1,-1,9995,9988,9992,1542,18730,15852,1301,6418,-1,-1,-1,-1,4,7,8,21,14,0,0,0,-1,-1,-1,-1,
31,5,4,0,0,2092,2105,120,121,4604,9559,2947,6948,-1,-1,-1,-1,6442,10005,10006,10008,15852,1301,16754,6418,-1,-1,-1,-1,13,4,7,8,0,0,25,0,-1,-1,-1,-1,
59,5,4,1,0,2092,2105,120,121,4604,9559,2947,6948,-1,-1,-1,-1,6442,10005,10006,10008,15852,1301,16754,6418,-1,-1,-1,-1,13,4,7,8,0,0,25,0,-1,-1,-1,-1,
32,5,5,0,0,6144,53,52,36,4604,159,51,9569,6948,-1,-1,-1,12680,9944,9945,5194,15852,18084,9946,1301,6418,-1,-1,-1,20,4,7,21,0,0,8,0,0,-1,-1,-1,
60,5,5,1,0,6144,53,52,36,4604,159,51,9569,6948,-1,-1,-1,12680,9944,9945,5194,15852,18084,9946,1301,6418,-1,-1,-1,20,4,7,21,0,0,8,0,0,-1,-1,-1,
34,5,8,0,0,6140,1395,6096,35,55,4604,159,9574,6948,-1,-1,-1,12649,9924,2163,472,9929,15852,18084,1301,6418,-1,-1,-1,20,7,4,17,8,0,0,0,0,-1,-1,-1,
61,5,8,1,0,6140,1395,6096,35,55,4604,159,9574,6948,-1,-1,-1,12649,9924,2163,472,9929,15852,18084,1301,6418,-1,-1,-1,20,7,4,17,8,0,0,0,0,-1,-1,-1,
33,5,9,0,0,6129,1396,59,2092,9578,4604,159,6948,-1,-1,-1,-1,12646,3260,3261,6442,1301,15852,18084,6418,-1,-1,-1,-1,20,7,8,13,0,0,0,0,-1,-1,-1,-1,
62,5,9,1,0,6129,1396,59,2092,9578,4604,159,6948,-1,-1,-1,-1,12646,3260,3261,6442,1301,15852,18084,6418,-1,-1,-1,-1,20,7,8,13,0,0,0,0,-1,-1,-1,-1,
27,6,1,0,0,6125,139,9547,2361,6948,4540,0,-1,-1,-1,-1,-1,9995,9988,7798,8690,6418,6399,-1,-1,-1,-1,-1,-1,4,7,0,17,0,0,-1,-1,-1,-1,-1,-1,
63,6,1,1,0,6125,139,9547,2361,6948,4540,0,-1,-1,-1,-1,-1,9995,9988,7798,8690,6418,6399,-1,-1,-1,-1,-1,-1,4,7,0,17,0,0,-1,-1,-1,-1,-1,-1,
15,6,3,0,0,127,6126,6948,37,159,2508,2102,2516,117,9565,-1,-1,9996,10002,6418,14029,18084,6606,1816,5998,2473,7798,-1,-1,4,7,0,21,0,26,18,24,0,0,-1,-1,
64,6,3,1,0,127,6126,6948,37,159,2508,2102,2516,117,9565,-1,-1,9996,10002,6418,14029,18084,6606,1816,5998,2473,7798,-1,-1,4,7,0,21,0,26,18,24,0,0,-1,-1,
29,6,7,0,0,154,153,6948,36,4604,159,9552,-1,-1,-1,-1,-1,10058,10050,6418,5194,15852,18084,7798,-1,-1,-1,-1,-1,4,7,0,21,0,0,0,-1,-1,-1,-1,-1,
66,6,7,1,0,154,153,6948,36,4604,159,9552,-1,-1,-1,-1,-1,10058,10050,6418,5194,15852,18084,7798,-1,-1,-1,-1,-1,4,7,0,21,0,0,0,-1,-1,-1,-1,-1,
284,6,11,0,0,35,6139,6124,159,9581,4536,6948,0,-1,-1,-1,-1,472,12684,9987,18084,7798,6410,6418,-1,-1,-1,-1,-1,17,20,7,0,0,0,0,-1,-1,-1,-1,-1,
285,6,11,1,0,35,6139,6124,159,9581,4536,6948,0,-1,-1,-1,-1,472,12684,9987,18084,7798,6410,6418,-1,-1,-1,-1,-1,17,20,7,0,0,0,0,-1,-1,-1,-1,-1,
291,7,1,0,0,38,39,40,9544,25,2362,117,6948,-1,-1,-1,-1,9891,9892,10141,7629,1542,18730,2473,6418,-1,-1,-1,-1,4,7,8,0,21,14,0,0,-1,-1,-1,-1,
314,7,1,1,0,38,39,40,9544,25,2362,117,6948,-1,-1,-1,-1,9891,9892,10141,7629,1542,18730,2473,6418,-1,-1,-1,-1,4,7,8,0,21,14,0,0,-1,-1,-1,-1,
293,7,4,0,0,49,48,47,9558,2092,2947,117,6948,-1,-1,-1,-1,9906,9913,9915,7629,6442,16754,2473,6418,-1,-1,-1,-1,4,7,8,0,13,25,0,0,-1,-1,-1,-1,
304,7,4,1,0,49,48,47,9558,2092,2947,117,6948,-1,-1,-1,-1,9906,9913,9915,7629,6442,16754,2473,6418,-1,-1,-1,-1,4,7,8,0,13,25,0,0,-1,-1,-1,-1,
294,7,8,0,0,56,1395,6096,55,9573,35,4536,159,6948,-1,-1,-1,12647,9924,2163,9929,7629,472,6410,18084,6418,-1,-1,-1,20,7,4,8,0,17,0,0,0,-1,-1,-1,
306,7,8,1,0,56,1395,6096,55,9573,35,4536,159,6948,-1,-1,-1,12647,9924,2163,9929,7629,472,6410,18084,6418,-1,-1,-1,20,7,4,8,0,17,0,0,0,-1,-1,-1,
295,7,9,0,0,57,6097,1396,59,2092,159,4604,9577,6948,-1,-1,-1,12645,2470,3260,3261,6442,18084,15852,7629,6418,-1,-1,-1,20,4,7,8,13,0,0,0,0,-1,-1,-1,
308,7,9,1,0,57,6097,1396,59,2092,159,4604,9577,6948,-1,-1,-1,12645,2470,3260,3261,6442,18084,15852,7629,6418,-1,-1,-1,20,4,7,8,13,0,0,0,0,-1,-1,-1,
292,8,1,0,0,37,117,6125,139,2362,6488,3111,6948,-1,-1,-1,-1,14029,2473,9995,9988,18730,12221,20777,6418,-1,-1,-1,-1,21,0,4,7,14,0,25,0,-1,-1,-1,-1,
316,8,1,1,0,37,117,6125,139,2362,6488,3111,6948,-1,-1,-1,-1,14029,2473,9995,9988,18730,12221,20777,6418,-1,-1,-1,-1,21,0,4,7,14,0,25,0,-1,-1,-1,-1,
297,8,3,0,0,37,4604,2101,2512,2504,6126,127,159,9564,6948,-1,-1,14029,15852,21328,5996,8106,10002,9996,18084,18500,6418,-1,-1,21,0,18,24,15,7,4,0,0,0,-1,-1,
310,8,3,1,0,37,4604,2101,2512,2504,6126,127,159,9564,6948,-1,-1,14029,15852,21328,5996,8106,10002,9996,18084,18500,6418,-1,-1,21,0,18,24,15,7,4,0,0,0,-1,-1,
296,8,4,0,0,2092,117,6136,6137,6138,9554,3111,6948,-1,-1,-1,-1,6442,2473,10112,10114,10115,18500,20777,6418,-1,-1,-1,-1,13,0,4,7,8,0,25,0,-1,-1,-1,-1,
309,8,4,1,0,2092,117,6136,6137,6138,9554,3111,6948,-1,-1,-1,-1,6442,2473,10112,10114,10115,18500,20777,6418,-1,-1,-1,-1,13,0,4,7,8,0,25,0,-1,-1,-1,-1,
298,8,5,0,0,36,4540,159,6144,53,52,9561,6948,-1,-1,-1,-1,5194,6399,18084,12680,9944,9945,18500,6418,-1,-1,-1,-1,21,0,0,20,4,7,0,0,-1,-1,-1,-1,
311,8,5,1,0,36,4540,159,6144,53,52,9561,6948,-1,-1,-1,-1,5194,6399,18084,12680,9944,9945,18500,6418,-1,-1,-1,-1,21,0,0,20,4,7,0,0,-1,-1,-1,-1,
300,8,7,0,0,36,117,159,6134,6135,9562,6948,-1,-1,-1,-1,-1,5194,2473,18084,10108,10109,18500,6418,-1,-1,-1,-1,-1,21,0,0,4,7,0,0,-1,-1,-1,-1,-1,
312,8,7,1,0,36,117,159,6134,6135,9562,6948,-1,-1,-1,-1,-1,5194,2473,18084,10108,10109,18500,6418,-1,-1,-1,-1,-1,21,0,0,4,7,0,0,-1,-1,-1,-1,-1,
317,8,8,0,0,6140,1395,6096,55,35,117,159,9575,6948,0,0,0,12649,9924,2163,9929,472,2473,18084,18500,6418,-1,-1,-1,20,7,4,8,17,0,0,0,0,-1,-1,-1,
318,8,8,1,0,6140,1395,6096,55,35,117,159,9575,6948,0,0,0,12649,9924,2163,9929,472,2473,18084,18500,6418,-1,-1,-1,20,7,4,8,17,0,0,0,0,-1,-1,-1,
